Accession	Organism_Name	GenBank_RefSeq	Release_Date	Isolate	Species	Genus	Family	Length	Nuc_Completeness	Genotype	Segment	Country	Host	Tissue_Specimen_Source	Collection_Date	GenBank_Title
NC_076697	Pacific salmon nidovirus	RefSeq	2023-05-04	H14	Alphapironavirus salmonis	Alphapironavirus	Coronaviridae	36652	complete			Canada	Oncorhynchus tshawytscha		2013-10-21	MAG: Pacific salmon nidovirus isolate H14 ORF1a polyprotein (QKQ71_gp1), ORF1b polyprotein (QKQ71_gp2), LAP1C-like protein (QKQ71_gp3), spike protein (QKQ71_gp4), envelope (QKQ71_gp5), membrane protein (QKQ71_gp6), and nucleoprotein (QKQ71_gp7) genes, complete cds
NC_076698	Amsterdam virus	RefSeq	2023-05-04	CHAMV1/NYC/2014/M026/0243	Usmuvirus newyorkense	Usmuvirus	Lispiviridae	11561	complete			USA		liver, abdominal cavity	2014-09-03	Amsterdam virus isolate CHAMV1/NYC/2014/M026/0243 ORF1 (QKQ72_gp1), ORF2 (QKQ72_gp2), ORF3 (QKQ72_gp3), putative glycoprotein (QKQ72_gp4), and RNA-dependent RNA polymerase (QKQ72_gp5) genes, complete cds
NC_076699	Entomophthora muscae mitovirus 1	RefSeq	2023-05-04		Unuamitovirus enmu1	Unuamitovirus	Mitoviridae	2804	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 1 strain EnmuMV1-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076700	Entomophthora muscae mitovirus 2	RefSeq	2023-05-04		Unuamitovirus enmu2	Unuamitovirus	Mitoviridae	2421	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 2 strain EnmuMV2-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076701	Entomophthora muscae mitovirus 3	RefSeq	2023-05-04		Unuamitovirus enmu3	Unuamitovirus	Mitoviridae	2550	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 3 strain EnmuMV3-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076702	Entomophthora muscae mitovirus 4	RefSeq	2023-05-04		Unuamitovirus enmu4	Unuamitovirus	Mitoviridae	2561	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 4 strain EnmuMV4-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076703	Entomophthora muscae mitovirus 5	RefSeq	2023-05-04		Unuamitovirus enmu5	Unuamitovirus	Mitoviridae	2487	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 5 strain EnmuMV5-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076704	Entomophthora muscae mitovirus 6	RefSeq	2023-05-04		Unuamitovirus enmu6	Unuamitovirus	Mitoviridae	2362	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 6 strain EnmuMV6-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076705	Entomophthora muscae mitovirus 7	RefSeq	2023-05-04		Unuamitovirus enmu7	Unuamitovirus	Mitoviridae	2300	complete			Denmark	Entomophthora muscae		2013	Entomophthora muscae mitovirus 7 strain EnmuMV7-KVL-14-117 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076706	Northern red-backed vole stool-associated circular virus 11	RefSeq	2023-05-04	MR-11	Ringilvirus tuor	Ringilvirus	Vilyaviridae	1944	complete			Russia	Myodes rutilus	feces	2014-08	Northern red-backed vole stool-associated circular virus 11 isolate MR-11, complete genome
NC_076707	Northern red-backed vole stool-associated circular virus 16	RefSeq	2023-05-04	MR-16	Arnorvirus sauron	Arnorvirus	Vilyaviridae	2207	complete			Russia	Myodes rutilus	feces	2014-08	Northern red-backed vole stool-associated circular virus 16 isolate MR-16, complete genome
NC_076708	Northern red-backed vole stool-associated circular virus 116	RefSeq	2023-05-04	MR-116	Ringilvirus thingol	Ringilvirus	Vilyaviridae	2122	complete			Russia	Myodes rutilus	feces	2014-08	Northern red-backed vole stool-associated circular virus 116 isolate MR-116, complete genome
NC_076709	Northern red-backed vole stool-associated circular virus 117	RefSeq	2023-05-04	MR-117	Ringilvirus ungol	Ringilvirus	Vilyaviridae	2075	complete			Russia	Myodes rutilus	feces	2014-08	Northern red-backed vole stool-associated circular virus 117 isolate MR-117, complete genome
NC_076710	Cherry symptomless virus	RefSeq	2023-05-04	Mskhvil Nakota	Cherry symptomless virus	Trichovirus	Betaflexiviridae	7460	complete			Georgia	Prunus avium		2016-10-24	Cherry symptomless virus, complete genome
NC_076711	Papaya mild mottle associated virus	RefSeq	2023-05-04	KE-Kwa-02	Carlavirus PaMMaV	Carlavirus	Betaflexiviridae	9081	complete			Kenya	Carica papaya		2017	Papaya mild mottle associated virus isolate KE-Kwa-02, complete genome
NC_076712	papaya mottle-associated virus	RefSeq	2023-05-04	KE-Mer-04	Carlavirus PapMaV	Carlavirus	Betaflexiviridae	9080	complete			Kenya	Carica papaya		2017	Papaya mottle associated virus isolate KE-Mer-04, complete genome
NC_076713	Geopora sumneriana mitovirus 1	RefSeq	2023-05-04		Triamitovirus gesu1	Triamitovirus	Mitoviridae	3146	complete			Turkey	Geopora sumneriana		2018-05-23	Geopora sumneriana mitovirus 1 strain ANK, complete genome
NC_076714	Jeremy Point nyavirus	RefSeq	2023-05-04	13-143	Nyavirus somateriae	Nyavirus	Nyamiviridae	12659	complete			USA	Somateria mollissima	spleen, abdominal cavity	2013	Jeremy Point nyavirus isolate 13-143 N protein (ORF 1), putative X protein (ORF 2), putative P protein (ORF 3), putative M protein (ORF 4), vip5 protein (ORF 5), vck6 protein (ORF 6), G protein (ORF 7), and L protein (ORF 8) genes, complete cds
NC_076715	rubber tree virus 1	RefSeq	2023-05-04	RTCV1_HN/Qionghai	Capillovirus TRV1	Capillovirus	Betaflexiviridae	6811	complete			China	Hevea brasiliensis		2017-10-01	Rubber tree capillovirus 1 isolate RTCV1_HN/Qionghai, complete genome
NC_076716	Rose virus A	RefSeq	2023-05-04	R11	Carlavirus RoVA	Carlavirus	Betaflexiviridae	8869	complete			USA	Rosa lucieae		2018-06-22	Rose virus A isolate R11, complete genome
NC_076717	Heterobasidion mitovirus 2	RefSeq	2023-05-04	HetMV2-an1	Unuamitovirus hean2	Unuamitovirus	Mitoviridae	2923	complete			Poland	Heterobasidion annosum		1994	Heterobasidion mitovirus 2 isolate HetMV2-an1 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076718	Heterobasidion mitovirus 3	RefSeq	2023-05-04	HetMV3-an1	Duamitovirus hean3	Duamitovirus	Mitoviridae	4955	complete			Poland	Heterobasidion annosum		1994	Heterobasidion mitovirus 3 isolate HetMV3-an1 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076719	Heterobasidion mitovirus 3	RefSeq	2023-05-04	HetMV3-pa3	Duamitovirus hean3	Duamitovirus	Mitoviridae	3580	complete			Russia	Heterobasidion parviporum		1995	Heterobasidion mitovirus 3 isolate HetMV3-pa3 RNA-dependent RNA polymerase (RdRp) gene, complete cds
NC_076720	Harbour porpoise rhabdovirus	RefSeq	2023-05-04	WVL17017A	Cetarhavirus phocoena	Cetarhavirus	Rhabdoviridae	10988	complete			USA	Phocoena phocoena		2013	Harbour porpoise rhabdovirus isolate WVL17017A, complete genome
NC_076721	Southern Psittacara leucophthalmus aviadenovirus	RefSeq	2023-05-04	BR_DF2	Aviadenovirus leucophthalmi	Aviadenovirus	Adenoviridae	35595	complete			Brazil	Psittacara leucophthalmus	feces	2016	Southern Psittacara leucophthalmus aviadenovirus isolate BR_DF2, partial genome
NC_076722	Serpentovirinae sp.	RefSeq	2023-05-04	C18	Serpentovirinae sp.		Tobaniviridae	27270	complete			USA	Corallus caninus	oronasopharynx	2018-12-19	Serpentovirinae sp. isolate C18 ORF1AB (ORF1AB), ORF1A (ORF1A), ORF1B (ORF1B), spike protein (ORF2), putative transmembrane protein (ORF3), putative matrix protein (ORF4), and putative nucleoprotein (ORF5) genes, complete cds
NC_076723	Serpentovirinae sp.	RefSeq	2023-05-04	K48	Serpentovirinae sp.		Tobaniviridae	27281	complete			USA	Malayopython reticulatus	oronasopharynx	2018-12-19	Serpentovirinae sp. isolate K48 ORF1AB (ORF1AB), ORF1A (ORF1A), ORF1B (ORF1B), spike protein (ORF2), putative transmembrane protein (ORF3), putative matrix protein (ORF4), putative nucleoprotein (ORF5), and hypothetical protein (ORF6) genes, complete cds
NC_076724	Serpentovirinae sp.	RefSeq	2023-05-04	L25	Serpentovirinae sp.		Tobaniviridae	30104	complete			USA	Lampropeltis triangulum hondurensis	oronasopharynx	2018-12-19	Serpentovirinae sp. isolate L25 ORF1AB (ORF1AB), ORF1A (ORF1A), ORF1B (ORF1B), spike protein (ORF2), putative transmembrane protein (ORF3), putative transmembrane protein (ORF4), putative matrix protein (ORF5), and putative nucleoprotein (ORF6) genes, complete cds
NC_076725	Trichoderma harzianum hypovirus 1	RefSeq	2023-05-04	THHV1.T-70	Betahypovirus trichodermae	Betahypovirus	Hypoviridae	11251	complete			China	Trichoderma harzianum		2016	Trichoderma harzianum hypovirus 1 isolate THHV1.T-70, complete genome
NC_076726	Fusarium oxysporum dianthi hypovirus 2	RefSeq	2023-05-04		Betahypovirus fusarii	Betahypovirus	Hypoviridae	9444	complete			Morocco	Fusarium oxysporum		2012	Fusarium oxysporum dianthi hypovirus 2, complete genome
NC_076727	Actinidia yellowing virus 1	RefSeq	2023-05-04	AYV1-Zhouzhi	Waikavirus actinidiae	Waikavirus	Secoviridae	12149	complete			China	Actinidia		2018-04	Actinidia yellowing virus 1 isolate AYV1-Zhouzhi, complete sequence
NC_076728	Euproctis digramma nucleopolyhedrovirus	RefSeq	2023-05-04		Euproctis digramma nucleopolyhedrovirus	Alphabaculovirus	Baculoviridae	161734	complete			China			1986	Euproctis digramma nucleopolyhedrovirus, complete genome
NC_076729	Fusarium sacchari hypovirus 1	RefSeq	2023-05-04		Alphahypovirus sacchari	Alphahypovirus	Hypoviridae	13969	complete			China	Fusarium sacchari		2012	Fusarium sacchari hypovirus 1 strain FZ06, complete genome
NC_076730	Chicken virus mg5_2876	RefSeq	2023-05-04	mg5_2876	Nauglamirvirus anduin	Nauglamirvirus	Naryaviridae	1970	complete			USA	Gallus gallus	lung	2017	Chicken virus mg5_2876, complete genome
NC_076731	Apple ourmia-like virus 2	RefSeq	2023-05-04	WA1	Penoulivirus malus	Penoulivirus	Botourmiaviridae	2570	complete			USA	Malus domestica		2018-09	MAG: Apple ourmia-like virus 2 isolate WA1 RNA-dependent RNA polymerase (QKR06_gp1) gene, complete cds
NC_076732	Apple ourmia-like virus 3	RefSeq	2023-05-04	WA1	Magoulivirus malus	Magoulivirus	Botourmiaviridae	3067	complete			USA			2018-09	MAG: Apple ourmia-like virus 3 isolate WA1 RNA-dependent RNA polymerase (QKR07_gp1) gene, complete cds
NC_076733	Rhizoctonia solani mitovirus 39	RefSeq	2023-05-04		Triamitovirus rhso39	Triamitovirus	Mitoviridae	2805	complete			China	Rhizoctonia solani		2011	Rhizoctonia solani mitovirus 39 putative RNA-dependent RNA polymerase (QKR08_gp1) gene, complete cds
NC_076734	Fiwi virus	RefSeq	2023-05-04		Thamnovirus percae	Thamnovirus	Filoviridae	13764	complete			Switzerland	Perca fluviatilis		2017	Fiwi virus strain FIWIV CH17, partial genome
NC_076735	Oberland virus	RefSeq	2023-05-04		Oblavirus percae	Oblavirus	Filoviridae	14593	complete			Switzerland	Perca fluviatilis		2017	Oberland virus strain OBLV CH17, partial genome
NC_076736	Plasmopara viticola lesion associated ourmia-like virus 1	RefSeq	2023-05-04	DMG-A_31944	Betabotoulivirus alphaplasmoparae	Betabotoulivirus	Botourmiaviridae	2895	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 1 isolate DMG-A_31944 RNA dependent RNA polymerase (QKR11_gp1) gene, complete cds
NC_076737	Plasmopara viticola lesion associated ourmia-like virus 2	RefSeq	2023-05-04	DMG-B_49298	Betabotoulivirus betaplasmoparae	Betabotoulivirus	Botourmiaviridae	2696	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 2 isolate DMG-B_49298 RNA dependent RNA polymerase (QKR12_gp1) gene, complete cds
NC_076738	Plasmopara viticola lesion associated ourmia-like virus 3	RefSeq	2023-05-04	DMG-D_30438	Botoulivirus alphaplasmoparae	Botoulivirus	Botourmiaviridae	2404	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 3 isolate DMG-D_30438 RNA dependent RNA polymerase (QKR13_gp1) gene, complete cds
NC_076739	Plasmopara viticola lesion associated ourmia-like virus 4	RefSeq	2023-05-04	DMG-A_37954	Betabotoulivirus gammaplasmoparae	Betabotoulivirus	Botourmiaviridae	2545	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 4 isolate DMG-A_37954 RNA dependent RNA polymerase (QKR14_gp1) gene, complete cds
NC_076740	Plasmopara viticola lesion associated ourmia-like virus 5	RefSeq	2023-05-04	DMG-B_54689	Magoulivirus alphaplasmoparae	Magoulivirus	Botourmiaviridae	2746	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 5 isolate DMG-B_54689 RNA dependent RNA polymerase (QKR15_gp1) gene, complete cds
NC_076741	Plasmopara viticola lesion associated ourmia-like virus 6	RefSeq	2023-05-04	DMG-B_8483	Magoulivirus betaplasmoparae	Magoulivirus	Botourmiaviridae	2697	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 6 isolate DMG-B_8483 RNA dependent RNA polymerase (QKR16_gp1) gene, complete cds
NC_076742	Plasmopara viticola lesion associated ourmia-like virus 7	RefSeq	2023-05-04	DMS6_42536	Magoulivirus gammaplasmoparae	Magoulivirus	Botourmiaviridae	2685	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 7 isolate DMS6_42536 RNA dependent RNA polymerase (QKR17_gp1) gene, complete cds
NC_076743	Plasmopara viticola lesion associated ourmia-like virus 8	RefSeq	2023-05-04	DMG-B_54149	Magoulivirus deltaplasmoparae	Magoulivirus	Botourmiaviridae	2645	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 8 isolate DMG-B_54149 RNA dependent RNA polymerase (QKR18_gp1) gene, complete cds
NC_076744	Plasmopara viticola lesion associated ourmia-like virus 9	RefSeq	2023-05-04	DMS6_42418	Magoulivirus epsilonplasmoparae	Magoulivirus	Botourmiaviridae	2579	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 9 isolate DMS6_42418 RNA dependent RNA polymerase (QKR19_gp1) gene, complete cds
NC_076745	Plasmopara viticola lesion associated ourmia-like virus 10	RefSeq	2023-05-04	DMS1_25369	Magoulivirus zetaplasmoparae	Magoulivirus	Botourmiaviridae	2578	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 10 isolate DMS1_25369 RNA dependent RNA polymerase (QKR20_gp1) gene, complete cds
NC_076746	Plasmopara viticola lesion associated ourmia-like virus 11	RefSeq	2023-05-04	DMG-B_52945	Magoulivirus etaplasmoparae	Magoulivirus	Botourmiaviridae	2575	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 11 isolate DMG-B_52945 RNA dependent RNA polymerase (QKR21_gp1) gene, complete cds
NC_076747	Plasmopara viticola lesion associated ourmia-like virus 12	RefSeq	2023-05-04	DMG-D_33124	Magoulivirus thetaplasmoparae	Magoulivirus	Botourmiaviridae	2546	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 12 isolate DMG-D_33124 RNA dependent RNA polymerase (QKR22_gp1) gene, complete cds
NC_076748	Plasmopara viticola lesion associated ourmia-like virus 13	RefSeq	2023-05-04	DMG-A_34860	Magoulivirus iotaplasmoparae	Magoulivirus	Botourmiaviridae	2522	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 13 isolate DMG-A_34860 RNA dependent RNA polymerase (QKR23_gp1) gene, complete cds
NC_076749	Plasmopara viticola lesion associated ourmia-like virus 14	RefSeq	2023-05-04	DMG-F_43504	Magoulivirus kappaplasmoparae	Magoulivirus	Botourmiaviridae	2521	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 14 isolate DMG-F_43504 RNA dependent RNA polymerase (QKR24_gp1) gene, complete cds
NC_076750	Plasmopara viticola lesion associated ourmia-like virus 15	RefSeq	2023-05-04	DMS4_34466	Magoulivirus lambdaplasmoparae	Magoulivirus	Botourmiaviridae	2518	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 15 isolate DMS4_34466 RNA dependent RNA polymerase (QKR25_gp1) gene, complete cds
NC_076751	Plasmopara viticola lesion associated ourmia-like virus 16	RefSeq	2023-05-04	DMG-D_27335	Magoulivirus miplasmoparae	Magoulivirus	Botourmiaviridae	2500	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 16 isolate DMG-D_27335 RNA dependent RNA polymerase (QKR26_gp1) gene, complete cds
NC_076752	Plasmopara viticola lesion associated ourmia-like virus 17	RefSeq	2023-05-04	DMG-E_18335	Magoulivirus niplasmoparae	Magoulivirus	Botourmiaviridae	2489	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 17 isolate DMG-E_18335 RNA dependent RNA polymerase (QKR27_gp1) gene, complete cds
NC_076753	Plasmopara viticola lesion associated ourmia-like virus 18	RefSeq	2023-05-04	DMG-C_28172	Magoulivirus xiplasmoparae	Magoulivirus	Botourmiaviridae	2489	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 18 isolate DMG-C_28172 RNA dependent RNA polymerase (QKR28_gp1) gene, complete cds
NC_076754	Plasmopara viticola lesion associated ourmia-like virus 19	RefSeq	2023-05-04	DMG-B_12886	Magoulivirus omicronplasmoparae	Magoulivirus	Botourmiaviridae	2470	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 19 isolate DMG-B_12886 RNA dependent RNA polymerase (QKR29_gp1) gene, complete cds
NC_076755	Plasmopara viticola lesion associated ourmia-like virus 20	RefSeq	2023-05-04	DMG-B_54614	Magoulivirus piplasmoparae	Magoulivirus	Botourmiaviridae	2438	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 20 isolate DMG-B_54614 RNA dependent RNA polymerase (QKR30_gp1) gene, partial cds
NC_076756	Plasmopara viticola lesion associated ourmia-like virus 21	RefSeq	2023-05-04	DMG-A_33790	Magoulivirus rhoplasmoparae	Magoulivirus	Botourmiaviridae	2420	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 21 isolate DMG-A_33790 RNA dependent RNA polymerase (QKR31_gp1) gene, complete cds
NC_076757	Plasmopara viticola lesion associated ourmia-like virus 22	RefSeq	2023-05-04	DMS3_17792	Magoulivirus sigmaplasmoparae	Magoulivirus	Botourmiaviridae	2393	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 22 isolate DMS3_17792 RNA dependent RNA polymerase (QKR32_gp1) gene, complete cds
NC_076758	Plasmopara viticola lesion associated ourmia-like virus 23	RefSeq	2023-05-04	DMG-B_48392	Magoulivirus tauplasmoparae	Magoulivirus	Botourmiaviridae	2386	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 23 isolate DMG-B_48392 RNA dependent RNA polymerase (QKR33_gp1) gene, complete cds
NC_076759	Plasmopara viticola lesion associated ourmia-like virus 24	RefSeq	2023-05-04	DMG-B_50766	Magoulivirus ipsilonplasmoparae	Magoulivirus	Botourmiaviridae	2347	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 24 isolate DMG-B_50766 RNA dependent RNA polymerase (QKR34_gp1) gene, complete cds
NC_076760	Plasmopara viticola lesion associated ourmia-like virus 25	RefSeq	2023-05-04	DMS4_34176	Magoulivirus fiplasmoparae	Magoulivirus	Botourmiaviridae	2339	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 25 isolate DMS4_34176 RNA dependent RNA polymerase (QKR35_gp1) gene, complete cds
NC_076761	Plasmopara viticola lesion associated ourmia-like virus 26	RefSeq	2023-05-04	DMS1_25556	Magoulivirus jiplasmoparae	Magoulivirus	Botourmiaviridae	2329	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 26 isolate DMS1_25556 RNA dependent RNA polymerase (QKR36_gp1) gene, complete cds
NC_076762	Plasmopara viticola lesion associated ourmia-like virus 27	RefSeq	2023-05-04	DMG-D_13497	Magoulivirus omegaplasmoparae	Magoulivirus	Botourmiaviridae	2315	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 27 isolate DMG-D_13497 RNA dependent RNA polymerase (QKR37_gp1) gene, complete cds
NC_076763	Plasmopara viticola lesion associated ourmia-like virus 29	RefSeq	2023-05-04	DMG-E_28155	Magoulivirus psiplasmoparae	Magoulivirus	Botourmiaviridae	3729	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 29 isolate DMG-E_28155 RNA dependent RNA polymerase (QKR38_gp1) gene, complete cds
NC_076764	Plasmopara viticola lesion associated ourmia-like virus 34	RefSeq	2023-05-04	DMG-A_34896	Betascleroulivirus alphaplasmoparae	Betascleroulivirus	Botourmiaviridae	2548	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 34 isolate DMG-A_34896 RNA dependent RNA polymerase (QKR39_gp1) gene, complete cds
NC_076765	Plasmopara viticola lesion associated ourmia-like virus 35	RefSeq	2023-05-04	DMG-D_Contig5	Betascleroulivirus betaplasmoparae	Betascleroulivirus	Botourmiaviridae	2434	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 35 isolate DMG-D_Contig5 RNA dependent RNA polymerase (QKR40_gp1) gene, complete cds
NC_076766	Plasmopara viticola lesion associated ourmia-like virus 36	RefSeq	2023-05-04	DMG-B_Contig4	Magoulivirus viticolae	Magoulivirus	Botourmiaviridae	2357	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 36 isolate DMG-B_Contig4 RNA dependent RNA polymerase (QKR41_gp1) gene, complete cds
NC_076767	Plasmopara viticola lesion associated ourmia-like virus 37	RefSeq	2023-05-04	DMS9_20604	Betascleroulivirus gammaplasmoparae	Betascleroulivirus	Botourmiaviridae	2352	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 37 isolate DMS9_20604 RNA dependent RNA polymerase (QKR42_gp1) gene, complete cds
NC_076768	Plasmopara viticola lesion associated ourmia-like virus 38	RefSeq	2023-05-04	DMG-B_45269	Betascleroulivirus deltaplasmoparae	Betascleroulivirus	Botourmiaviridae	2336	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 38 isolate DMG-B_45269 RNA dependent RNA polymerase (QKR43_gp1) gene, complete cds
NC_076769	Plasmopara viticola lesion associated ourmia-like virus 39	RefSeq	2023-05-04	DMS9_28604	Betascleroulivirus epsilonplasmoparae	Betascleroulivirus	Botourmiaviridae	2315	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 39 isolate DMS9_28604 RNA dependent RNA polymerase (QKR44_gp1) gene, complete cds
NC_076770	Plasmopara viticola lesion associated ourmia-like virus 40	RefSeq	2023-05-04	DMG-A_36999	Betascleroulivirus zetaplasmoparae	Betascleroulivirus	Botourmiaviridae	2215	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 40 isolate DMG-A_36999 RNA dependent RNA polymerase (QKR45_gp1) gene, complete cds
NC_076771	Plasmopara viticola lesion associated ourmia-like virus 41	RefSeq	2023-05-04	DMS9_29231	Betascleroulivirus etaplasmoparae	Betascleroulivirus	Botourmiaviridae	2206	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 41 isolate DMS9_29231 RNA dependent RNA polymerase (QKR46_gp1) gene, complete cds
NC_076772	Plasmopara viticola lesion associated ourmia-like virus 42	RefSeq	2023-05-04	DMG-G_38207	Betascleroulivirus thetaplasmoparae	Betascleroulivirus	Botourmiaviridae	2170	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 42 isolate DMG-G_38207 RNA dependent RNA polymerase (QKR47_gp1) gene, complete cds
NC_076773	Plasmopara viticola lesion associated ourmia-like virus 43	RefSeq	2023-05-04	DMS1_14782	Betascleroulivirus iotaplasmoparae	Betascleroulivirus	Botourmiaviridae	2135	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 43 isolate DMS1_14782 RNA dependent RNA polymerase (QKR48_gp1) gene, complete cds
NC_076774	Plasmopara viticola lesion associated ourmia-like virus 44	RefSeq	2023-05-04	DMG-A_35452	Scleroulivirus alphaplasmoparae	Scleroulivirus	Botourmiaviridae	2884	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 44 isolate DMG-A_35452 RNA dependent RNA polymerase gene, complete cds
NC_076775	Plasmopara viticola lesion associated ourmia-like virus 45	RefSeq	2023-05-04	DMS8_8872	Epsilonscleroulivirus plasmoparae	Epsilonscleroulivirus	Botourmiaviridae	2736	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 45 isolate DMS8_8872 RNA dependent RNA polymerase gene, complete cds
NC_076776	Plasmopara viticola lesion associated ourmia-like virus 46	RefSeq	2023-05-04	DMG-B_37170	Scleroulivirus betaplasmoparae	Scleroulivirus	Botourmiaviridae	2668	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 46 isolate DMG-B_37170 RNA dependent RNA polymerase (QKR51_gp1) gene, complete cds
NC_076777	Plasmopara viticola lesion associated ourmia-like virus 47	RefSeq	2023-05-04	DMS10_431	Scleroulivirus gammaplasmoparae	Scleroulivirus	Botourmiaviridae	2475	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 47 isolate DMS10_431 RNA dependent RNA polymerase (QKR52_gp1) gene, complete cds
NC_076778	Plasmopara viticola lesion associated ourmia-like virus 48	RefSeq	2023-05-04	DMS3_36060	Betascleroulivirus kappaplasmoparae	Betascleroulivirus	Botourmiaviridae	2451	complete			Spain	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 48 isolate DMS3_36060 RNA dependent RNA polymerase (QKR53_gp1) gene, complete cds
NC_076779	Plasmopara viticola lesion associated ourmia-like virus 49	RefSeq	2023-05-04	DMG-B_51647	Gammascleroulivirus alphaplasmoparae	Gammascleroulivirus	Botourmiaviridae	2412	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 49 isolate DMG-B_51647 RNA dependent RNA polymerase (QKR54_gp1) gene, complete cds
NC_076780	Plasmopara viticola lesion associated ourmia-like virus 50	RefSeq	2023-05-04	DMG-A_29287	Gammascleroulivirus betaplasmoparae	Gammascleroulivirus	Botourmiaviridae	2408	complete			Italy	Plasmopara viticola		2018	Plasmopara viticola lesion associated ourmia-like virus 50 isolate DMG-A_29287 RNA dependent RNA polymerase (QKR55_gp1) gene, complete cds
