acc	refseq_len	segment_name	superkingdom	kingdom	family	genus	species
NC_028985	2788	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Okra leaf curl Oman virus
NC_029051	9590	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Jasmine virus T
NC_029132	140122	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Simplexvirus	Simplexvirus macropodidalpha1
NC_029053	14924	segment	Viruses	Orthornavirae	Arteriviridae	Thetaarterivirus	Thetaarterivirus kafuba
NC_029052	9130	segment	Viruses	Orthornavirae	Dicistroviridae		Goose dicistrovirus
NC_029109	1853	segment	Viruses				Ctenophore-associated circular virus 2
NC_029108	1846	segment	Viruses				Ctenophore-associated circular virus 1
NC_029096	5003	segment	Viruses	Orthornavirae	Totiviridae		Panax notoginseng virus A
NC_029095	11907	segment	Viruses	Orthornavirae	Endornaviridae	Alphaendornavirus	Erysiphe cichoracearum alphaendornavirus
NC_029064	15078	segment	Viruses	Orthornavirae	Endornaviridae	Alphaendornavirus	Cucumis melo alphaendornavirus
NC_029117	2965	segment	Viruses	Shotokuvirae	Geminiviridae	Turncurtovirus	Turnip leaf roll virus
NC_029105	2700	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Pavonia yellow mosaic virus
NC_037611	2678	segment DNA B	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Pavonia yellow mosaic virus
NC_029125	8985	segment 1	Viruses	Orthornavirae	Megabirnaviridae	Megabirnavirus	Rosellinia necatrix megabirnavirus 2-W8
NC_029126	7959	segment 2	Viruses	Orthornavirae	Megabirnaviridae	Megabirnavirus	Rosellinia necatrix megabirnavirus 2-W8
NC_029089	8540	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Sambucus virus E
NC_029088	8612	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Sambucus virus D
NC_029087	8613	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Sambucus virus C
NC_029086	8607	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Elderberry carlavirus B
NC_029085	8628	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Elderberry carlavirus A
NC_029082	6391	segment L	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Arrabida virus
NC_037616	4198	segment M	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Arrabida virus
NC_037617	1840	segment S	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Arrabida virus
NC_029063	6421	segment	Viruses	Orthornavirae	Tymoviridae	Marafivirus	Marafivirus nucipersicae
NC_029128	4229	segment M	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus adanaense
NC_029129	1755	segment S	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus adanaense
NC_029127	6405	segment L	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus adanaense
NC_029076	10423	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Iris severe mosaic virus
NC_029115	1210	segment	Viruses				Ctenophore-associated circular genome 4
NC_029114	1223	segment	Viruses				Ctenophore-associated circular genome 3
NC_029112	1210	segment	Viruses				Ctenophore-associated circular genome 1
NC_029111	1714	segment	Viruses				Ctenophore-associated circular virus 4
NC_029110	1722	segment	Viruses				Ctenophore-associated circular virus 3
NC_029133	5212	segment	Viruses	Shotokuvirae	Parvoviridae	Bocaparvovirus	Bocaparvovirus rodent1
NC_029131	9581	segment	Viruses	Orthornavirae			Delisea pulchra RNA virus
NC_029300	5203	segment	Viruses	Shotokuvirae	Parvoviridae	Bocaparvovirus	Bat bocavirus
NC_029303	7663	segment	Viruses	Pararnavirae	Caulimoviridae	Badnavirus	Badnavirus phirubi
NC_029301	7925	segment	Viruses	Orthornavirae	Betaflexiviridae	Capillovirus	Currant virus A
NC_029302	6038	segment	Viruses	Orthornavirae	Totiviridae		Piscine myocarditis-like virus
NC_029311	124049	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Simplexvirus	Simplexvirus leporidalpha4
NC_029312	5713	segment	Viruses	Orthornavirae	Totiviridae		Camponotus nipponicus virus
NC_029313	1361	segment	Viruses		Alphasatellitidae		Bhindi yellow vein alphasatellite
NC_024910	1838	segment 7	Viruses	Orthornavirae			Cimodo virus
NC_024911	1609	segment 8	Viruses	Orthornavirae			Cimodo virus
NC_024912	1600	segment 9	Viruses	Orthornavirae			Cimodo virus
NC_024914	863	segment 11	Viruses	Orthornavirae			Cimodo virus
NC_024916	3657	segment 2	Viruses	Orthornavirae			Cimodo virus
NC_024917	3226	segment 3	Viruses	Orthornavirae			Cimodo virus
NC_024918	2302	segment 4	Viruses	Orthornavirae			Cimodo virus
NC_024919	2281	segment 5	Viruses	Orthornavirae			Cimodo virus
NC_024920	1874	segment 6	Viruses	Orthornavirae			Cimodo virus
NC_023420	4080	segment 1	Viruses	Orthornavirae			Cimodo virus
NC_024913	920	segment 10	Viruses	Orthornavirae			Cimodo virus
NC_024915	585	segment 12	Viruses	Orthornavirae			Cimodo virus
NC_023422	8305	segment	Viruses	Orthornavirae	Picornaviridae	Kobuvirus	Aichivirus C
NC_029306	8660	segment	Viruses	Orthornavirae	Marnaviridae	Salisharnavirus	Palmarnavirus 128
NC_029307	7897	segment	Viruses	Orthornavirae	Marnaviridae	Sogarnavirus	Palmarnavirus 156
NC_029309	6360	segment	Viruses	Orthornavirae	Marnaviridae	Salisharnavirus	Palmarnavirus 473
NC_033620	173861	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Roseolovirus	Murine roseolovirus
NC_033618	1347	segment	Viruses		Tolecusatellitidae	Betasatellite	Pea leaf distortion betasatellite
NC_033619	10017	segment	Viruses	Orthornavirae	Iflaviridae	Iflavirus	Helicoverpa armigera iflavirus
NC_033776	7475	segment	Viruses	Orthornavirae	Caliciviridae	Sapovirus	Bat sapovirus
NC_033781	7329	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 18
NC_033783	2901	segment 2	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033785	1978	segment 4	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033786	1775	segment 5	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033787	1657	segment 6	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033788	1165	segment 7	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033789	1142	segment 8	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033790	1103	segment 9	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033791	832	segment 10	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033784	2769	segment 3	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033782	3950	segment 1	Viruses	Orthornavirae	Sedoreoviridae	Orbivirus	Orbivirus SX-2017a
NC_033779	2784	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tomato leaf curl Burkina Faso virus
NC_033777	3880	segment	Viruses	Orthornavirae	Tombusviridae	Pelarspovirus	Pelarspovirus clematis
NC_033792	6712	segment	Viruses	Orthornavirae	Astroviridae	Mamastrovirus	Qinghai Himalayan marmot astrovirus 1
NC_033740	7958	segment	Viruses	Shotokuvirae	Papillomaviridae	Psipapillomavirus	Psipapillomavirus 2
NC_033706	4297	segment	Viruses	Orthornavirae	Solemoviridae	Sobemovirus	Solanum nodiflorum mottle virus
NC_033701	11743	segment	Viruses	Orthornavirae	Rhabdoviridae	Alphanemrhavirus	Alphanemrhavirus xingshan
NC_033727	11330	segment	Viruses				Xingshan nematode virus 2
NC_033732	9961	segment	Viruses				Wuhan spirurian nematodes virus 1
NC_033709	4059	segment	Viruses				Wuhan spider virus 9
NC_033711	6216	segment	Viruses				Wuhan spider virus 8
NC_033702	2696	segment	Viruses				Wuhan spider virus 7
NC_033712	10647	segment	Viruses				Wuhan spider virus 6
NC_033714	11448	segment	Viruses				Wuhan spider virus 5
NC_033717	11652	segment	Viruses				Wuhan spider virus 4
NC_033718	9421	segment	Viruses				Wuhan spider virus 3
NC_033708	8197	segment	Viruses				Wuhan poty-like virus 1
NC_033748	1524	segment 2	Viruses				Wuhan pillworm virus 3
NC_033751	2793	segment 1	Viruses				Wuhan pillworm virus 3
NC_033731	12548	segment	Viruses				Wuhan pillworm virus 2
NC_033735	17562	segment	Viruses				Wuhan nido-like virus 1
NC_033733	10655	segment	Viruses				Wuhan millipede virus 3
NC_033710	9305	segment	Viruses				Wuhan insect virus 9
NC_033707	10644	segment	Viruses				Wuhan insect virus 8
NC_033749	2221	segment 1	Viruses				Wuhan insect virus 35
NC_033750	2167	segment 2	Viruses				Wuhan insect virus 35
NC_033713	2836	segment	Viruses				Wuhan insect virus 34
NC_033722	10232	segment	Viruses				Wuhan insect virus 33
NC_033764	1728	segment 1	Viruses				Wuhan cricket virus 2
NC_033765	1549	segment 2	Viruses				Wuhan cricket virus 2
NC_033766	1510	segment 3	Viruses				Wuhan cricket virus 2
NC_033767	1503	segment 4	Viruses				Wuhan cricket virus 2
NC_033769	1379	segment 6	Viruses				Wuhan cricket virus 2
NC_033768	1436	segment 5	Viruses				Wuhan cricket virus 2
NC_033762	2938	segment 1	Viruses				Hubei myriapoda virus 9
NC_033763	1491	segment 2	Viruses				Hubei myriapoda virus 9
NC_033760	2579	segment 3	Viruses	Orthornavirae	Mypoviridae	Hubavirus	Hubavirus myriapedis
NC_033761	9874	segment 1	Viruses	Orthornavirae	Mypoviridae	Hubavirus	Hubavirus myriapedis
NC_033759	3524	segment 2	Viruses	Orthornavirae	Mypoviridae	Hubavirus	Hubavirus myriapedis
NC_033756	10960	segment 1	Viruses				Beihai shrimp virus 3
NC_033757	4249	segment 2	Viruses				Beihai shrimp virus 3
NC_033758	3605	segment 3	Viruses				Beihai shrimp virus 3
NC_033725	10203	segment	Viruses	Orthornavirae	Flaviviridae		Bamaga virus
NC_033729	2822	segment	Viruses	Orthornavirae	Botourmiaviridae	Penoulivirus	Phomosis penoulivirus
NC_033772	3310	segment S	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus capsicimaculaflavi
NC_033773	4711	segment M	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus capsicimaculaflavi
NC_033774	8913	segment L	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus capsicimaculaflavi
NC_033745	7991	segment	Viruses	Shotokuvirae	Papillomaviridae	Psipapillomavirus	Psipapillomavirus 3
NC_033744	4742	segment	Viruses	Shotokuvirae	Bacilladnaviridae	Kieseladnavirus	Kieseladnavirus ampcren
NC_033741	4576	segment	Viruses	Shotokuvirae	Bacilladnaviridae	Protobacilladnavirus	Protobacilladnavirus hasleos
NC_033746	4729	segment	Viruses	Shotokuvirae	Bacilladnaviridae	Protobacilladnavirus	Protobacilladnavirus mudflat
NC_033747	2243	segment	Viruses	Shotokuvirae	Genomoviridae	Gemykolovirus	Gemykolovirus echia1
NC_033742	2196	segment	Viruses	Shotokuvirae	Genomoviridae	Gemykibivirus	Gemykibivirus echi1
NC_033743	2182	segment	Viruses	Shotokuvirae	Genomoviridae		Thrips-associated genomovirus 2
NC_033736	2208	segment	Viruses	Shotokuvirae	Genomoviridae	Gemycircularvirus	Gemycircularvirus echiam1
NC_033739	7454	segment	Viruses	Pararnavirae	Caulimoviridae	Badnavirus	Badnavirus venatheobromae
NC_033738	7533	segment	Viruses	Pararnavirae	Caulimoviridae	Badnavirus	Badnavirus tessellotheobromae
NC_033696	4100	segment	Viruses				Jingmen tombus-like virus 2
NC_033695	7414	segment	Viruses	Orthornavirae	Picornaviridae	Enterovirus	Enterovirus AN12
NC_033720	8824	segment	Viruses				Ubei picorna-like virus 3
NC_033716	9558	segment	Viruses				Zhejiang mosquito virus 1
NC_033700	30353	segment	Viruses	Orthornavirae	Tobaniviridae	Infratovirus	Infratovirus 1
NC_033734	3243	segment	Viruses				Xinzhou nematode virus 7
NC_033704	7977	segment	Viruses	Orthornavirae	Chuviridae	Mivirus	Xinzhou mivirus
NC_033705	11731	segment	Viruses	Orthornavirae	Rhabdoviridae	Alphanemrhavirus	Alphanemrhavirus xinzhou
NC_033753	5931	segment 1	Viruses	Orthornavirae	Qinviridae	Yingvirus	Yingvirus xinzhouense
NC_033754	1730	segment 2	Viruses	Orthornavirae	Qinviridae	Yingvirus	Yingvirus xinzhouense
NC_033730	9547	segment	Viruses				Xinzhou nematode virus 2
NC_033728	11525	segment	Viruses				Xinzhou nematode virus 1
NC_033703	9314	segment	Viruses				Xinzhou dimarhabdovirus virus 1
NC_033719	6527	segment	Viruses				Xingshan nematode virus 6
NC_033752	2838	segment 1	Viruses				Xingshan nematode virus 5
NC_033755	1446	segment 2	Viruses				Xingshan nematode virus 5
NC_018102	4927	segment	Viruses	Shotokuvirae	Polyomaviridae	Deltapolyomavirus	Deltapolyomavirus decihominis
NC_018105	7659	segment	Viruses	Pararnavirae	Caulimoviridae	Badnavirus	Badnavirus venaribis
NC_033824	8882	segment	Viruses	Orthornavirae	Marnaviridae	Salisharnavirus	Bat dicibavirus
NC_033823	10519	segment	Viruses	Orthornavirae	Iflaviridae	Iflavirus	Bat iflavirus
NC_033820	7746	segment	Viruses	Orthornavirae	Picornaviridae	Sapelovirus	Bat sapelovirus
NC_033828	6612	segment	Viruses	Orthornavirae	Tymoviridae	Marafivirus	Marafivirus pruni
NC_033830	6466	segment L	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus mungubaense
NC_033831	1806	segment S	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus mungubaense
NC_033847	4651	segment M	Viruses	Orthornavirae	Phenuiviridae	Phlebovirus	Phlebovirus mungubaense
NC_033851	1869	segment 1	Viruses				Wuhan insect virus 22
NC_033852	1766	segment 2	Viruses				Wuhan insect virus 22
NC_033816	11094	segment	Viruses				Wuhan insect virus 12
NC_033815	7949	segment	Viruses				Jingmen tombus-like virus 1
NC_033822	9096	segment	Viruses				Beihai picorna-like virus 59
NC_033827	8518	segment	Viruses				Beihai picorna-like virus 57
NC_033832	3283	segment S	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus melotessellati
NC_033833	4873	segment M	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus melotessellati
NC_033834	8911	segment L	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus melotessellati
NC_033821	6640	segment	Viruses	Orthornavirae	Astroviridae	Mamastrovirus	Qinghai Himalayan marmot astrovirus 2
NC_033817	1228	segment	Viruses				Cassava satellite virus
NC_018136	6368	segment L	Viruses	Orthornavirae	Phenuiviridae	Bandavirus	Bandavirus dabieense
NC_018137	1744	segment S	Viruses	Orthornavirae	Phenuiviridae	Bandavirus	Bandavirus dabieense
NC_018138	3378	segment M	Viruses	Orthornavirae	Phenuiviridae	Bandavirus	Bandavirus dabieense
NC_018151	3640	segment	Viruses	Shotokuvirae	Geminiviridae	Citlodavirus	Citrus chlorotic dwarf associated virus
NC_018173	8607	segment RNA 1	Viruses	Orthornavirae	Closteroviridae	Crinivirus	Cucurbit chlorotic yellows virus
NC_018174	8041	segment RNA 2	Viruses	Orthornavirae	Closteroviridae	Crinivirus	Cucurbit chlorotic yellows virus
NC_018175	8410	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Potato virus H
NC_018176	9630	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Arracacha mottle virus
NC_034017	10884	segment	Viruses	Orthornavirae	Flaviviridae		Xishuangbanna aedes flavivirus
NC_018226	6916	segment	Viruses	Orthornavirae	Picornaviridae	Pasivirus	Pasivirus A
NC_034161	1688	segment 2	Viruses	Orthornavirae	Picobirnaviridae	Picobirnavirus	Otarine picobirnavirus
NC_034160	2347	segment 1	Viruses	Orthornavirae	Picobirnaviridae	Picobirnavirus	Otarine picobirnavirus
NC_034155	10050	segment	Viruses			Negevirus	Piura virus
NC_034158	9136	segment	Viruses			Negevirus	Loreto virus
NC_034159	1609	segment RNA 1	Viruses	Orthornavirae	Partitiviridae	Deltapartitivirus	Pepper cryptic virus 2
NC_034167	1525	segment RNA 2	Viruses	Orthornavirae	Partitiviridae	Deltapartitivirus	Pepper cryptic virus 2
NC_034215	5956	segment RNA 2	Viruses	Orthornavirae	Secoviridae	Nepovirus	Nepovirus persicae
NC_034214	8014	segment RNA 1	Viruses	Orthornavirae	Secoviridae	Nepovirus	Nepovirus persicae
NC_034210	1873	segment	Viruses	Shotokuvirae	Circoviridae	Circovirus	Circovirus sp.
NC_034216	15098	segment	Viruses	Orthornavirae	Endornaviridae		Lagenaria siceraria endornavirus-Hubei
NC_034217	9834	segment	Viruses	Orthornavirae	Iflaviridae		Pityohyphantes rubrofasciatus iflavirus
NC_034219	5014	segment	Viruses	Shotokuvirae	Polyomaviridae	Betapolyomavirus	Betapolyomavirus raegyptiacus
NC_034218	5060	segment	Viruses	Shotokuvirae	Polyomaviridae		Rhinolophus hildebrandtii polyomavirus 1
NC_034221	4877	segment	Viruses	Shotokuvirae	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus secumischreibersii
NC_034220	4752	segment	Viruses	Shotokuvirae	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus mischreibersii
NC_034222	2963		Viruses	Orthornavirae	Flaviviridae		Mogiana tick virus
NC_034223	2705		Viruses	Orthornavirae	Flaviviridae		Mogiana tick virus
NC_034224	2728		Viruses	Orthornavirae	Flaviviridae		Mogiana tick virus
NC_034225	2629		Viruses	Orthornavirae	Flaviviridae		Mogiana tick virus
NC_034240	13389	segment	Viruses	Orthornavirae	Rhabdoviridae	Cytorhabdovirus	Cytorhabdovirus lycopersici
NC_034243	4196	segment	Viruses	Orthornavirae	Tombusviridae	Umbravirus	Umbravirus ixeridii
NC_018403	2507	segment RNA 2	Viruses	Orthornavirae	Bromoviridae	Anulavirus	Amazon lily mild mottle virus
NC_018404	2530	segment RNA 3	Viruses	Orthornavirae	Bromoviridae	Anulavirus	Amazon lily mild mottle virus
NC_018402	3169	segment RNA 1	Viruses	Orthornavirae	Bromoviridae	Anulavirus	Amazon lily mild mottle virus
NC_018401	2034	segment	Viruses		Anelloviridae	Gyrovirus	Gyrovirus homsa3
NC_018382	6796	segment	Viruses	Orthornavirae	Hepeviridae	Chirohepevirus	Chirohepevirus eptesici
NC_018399	5012	segment	Viruses	Shotokuvirae	Parvoviridae	Iteradensovirus	Iteradensovirus lepidopteran2
NC_018384	4607	segment RNA 2	Viruses	Orthornavirae	Secoviridae	Nepovirus	Nepovirus anatoliense
NC_018383	7288	segment RNA 1	Viruses	Orthornavirae	Secoviridae	Nepovirus	Nepovirus anatoliense
NC_034265	5979	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Tobacco virus 2
NC_034266	204237	segment	Viruses	Heunggongvirae	Orthoherpesviridae	Mardivirus	Mardivirus columbidalpha1
NC_034267	7461	segment	Viruses	Orthornavirae	Picornaviridae	Enterovirus	Enterovirus goat/JL14
NC_034253	5269	segment	Viruses	Shotokuvirae	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus quardecihominis
NC_034247	5945	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Cowpea polerovirus 2
NC_034246	5845	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Cowpea polerovirus 1
NC_034250	1374	segment	Viruses		Tolecusatellitidae	Betasatellite	Tomato leaf curl Pakistan betasatellite
NC_034245	7253	segment	Viruses	Orthornavirae	Picornaviridae	Aphthovirus	Bovine rhinovirus 1
NC_034254	1972	segment 2	Viruses	Orthornavirae	Orthomyxoviridae	Thogotovirus	Thogotovirus dhoriense
NC_034255	1606	segment 3	Viruses	Orthornavirae	Orthomyxoviridae	Thogotovirus	Thogotovirus dhoriense
NC_034256	961	segment 5	Viruses	Orthornavirae	Orthomyxoviridae	Thogotovirus	Thogotovirus dhoriense
NC_034261	2375	segment 1	Viruses	Orthornavirae	Orthomyxoviridae	Thogotovirus	Thogotovirus dhoriense
NC_034262	1478	segment 4	Viruses	Orthornavirae	Orthomyxoviridae	Thogotovirus	Thogotovirus dhoriense
NC_034263	2224	segment 6	Viruses	Orthornavirae	Orthomyxoviridae	Thogotovirus	Thogotovirus dhoriense
NC_034252	7326	segment	Viruses	Pararnavirae	Caulimoviridae	Badnavirus	Badnavirus wisteriae
NC_034251	5052	segment	Viruses	Shotokuvirae	Polyomaviridae	Betapolyomavirus	Betapolyomavirus vicugnae
NC_034264	7398	segment	Viruses	Orthornavirae	Betaflexiviridae	Vitivirus	Arracacha virus V
NC_018448	8857	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Sweet potato C6 virus
NC_018450	5053	segment	Viruses	Shotokuvirae	Parvoviridae	Iteradensovirus	Iteradensovirus lepidopteran4
NC_018449	4145	segment	Viruses	Orthornavirae	Solemoviridae	Sobemovirus	Papaya lethal yellowing virus
NC_018456	2585	segment DNA B	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Soybean chlorotic spot virus
NC_018457	2623	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Soybean chlorotic spot virus
NC_018458	7551	segment	Viruses	Orthornavirae	Betaflexiviridae	Vitivirus	Grapevine virus F
NC_018481	3368	segment S	Viruses	Orthornavirae	Arenaviridae	Reptarenavirus	Reptarenavirus californiae
NC_018484	6812	segment L	Viruses	Orthornavirae	Arenaviridae	Reptarenavirus	Reptarenavirus californiae
NC_018482	6922	segment L	Viruses	Orthornavirae	Arenaviridae	Reptarenavirus	Reptarenavirus aurei
NC_018483	3482	segment S	Viruses	Orthornavirae	Arenaviridae	Reptarenavirus	Reptarenavirus aurei
NC_018455	8224	segment	Viruses	Orthornavirae	Potyviridae	Macluravirus	Chinese yam necrotic mosaic virus
NC_018461	6861		Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus schmallenbergense
NC_018462	843		Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus schmallenbergense
NC_018466	4330		Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus schmallenbergense
NC_018459	4335	segment M	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus ainoense
NC_018460	834	segment S	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus ainoense
NC_018465	6966	segment L	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus ainoense
NC_018464	927	segment S	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus schmallenbergense
NC_018467	4314	segment M	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus schmallenbergense
NC_018463	6863	segment L	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus schmallenbergense
NC_018476	6895	segment L	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus simbuense
NC_018477	860	segment S	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus simbuense
NC_018478	4417	segment M	Viruses	Orthornavirae	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus simbuense
NC_034375	5879	segment	Viruses	Orthornavirae	Alphaflexiviridae	Potexvirus	Cassava virus X
NC_034378	5225	segment	Viruses	Shotokuvirae	Polyomaviridae	Deltapolyomavirus	Deltapolyomavirus secuprocyonis
NC_034377	8372	segment	Viruses	Orthornavirae	Betaflexiviridae	Wamavirus	Watermelon virus A
NC_034376	8696	segment	Viruses	Orthornavirae	Betaflexiviridae	Carlavirus	Carlavirus PepVA
NC_034381	8468	segment					
NC_034384	9580	segment	Viruses	Orthornavirae	Iflaviridae	Iflavirus	Diamondback moth iflavirus
NC_023435	1722	segment	Viruses				Dragonfly larvae associated circular virus-9
NC_023434	1628	segment	Viruses				Dragonfly larvae associated circular virus-8
NC_023433	2253	segment	Viruses				Dragonfly larvae associated circular virus-7
NC_023432	1700	segment	Viruses				Dragonfly larvae associated circular virus-6
NC_023431	1960	segment	Viruses				Dragonfly larvae associated circular virus-5
NC_023429	2249	segment	Viruses				Dragonfly larvae associated circular virus-3
NC_023428	2398	segment	Viruses				Dragonfly larvae associated circular virus-2
NC_023430	2121	segment	Viruses				Dragonfly larvae associated circular virus-4
NC_023427	2668	segment	Viruses				Dragonfly larvae associated circular virus-1
NC_023436	2259	segment	Viruses				Dragonfly larvae associated circular virus-10
NC_030311	2716	segment B	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Cotton yellow mosaic virus
NC_030310	2766	segment A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Cotton yellow mosaic virus
NC_030309	1367	segment	Viruses		Tolecusatellitidae	Betasatellite	Momordica yellow mosaic betasatellite
NC_030378	8908	segment L	Viruses	Orthornavirae	Tospoviridae		Tospovirus kiwifruit/YXW/2014
NC_030379	4772	segment M	Viruses	Orthornavirae	Tospoviridae		Tospovirus kiwifruit/YXW/2014
NC_030380	2991	segment S	Viruses	Orthornavirae	Tospoviridae		Tospovirus kiwifruit/YXW/2014
NC_030392	5162	segment	Viruses	Orthornavirae	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NC_023441	5552	segment	Viruses	Shotokuvirae	Bacilladnaviridae	Protobacilladnavirus	Protobacilladnavirus chaetoc
NC_023442	120420	segment	Viruses		Baculoviridae	Alphabaculovirus	Alphabaculovirus busuppressariae
NC_023440	9023	segment	Viruses			Negevirus	Wallerfield virus
NC_023443	1365	segment	Viruses		Alphasatellitidae	Colecusatellite	Ageratum yellow vein China alphasatellite
NC_030396	2522	segment	Viruses	Orthornavirae	Mitoviridae	Unuamitovirus	Unuamitovirus crri3
NC_030395	2471	segment	Viruses	Orthornavirae	Mitoviridae	Unuamitovirus	Unuamitovirus crri2
NC_030393	2715	segment	Viruses	Orthornavirae	Mitoviridae	Unuamitovirus	Unuamitovirus crri1
NC_030398	4998	segment	Viruses	Orthornavirae	Totiviridae		Maize-associated totivirus 2
NC_030400	10122	segment	Viruses	Orthornavirae	Flaviviridae		Nakiwogo virus
NC_030402	5224	segment	Viruses	Shotokuvirae	Parvoviridae	Bocaparvovirus	Bocaparvovirus ungulate6
NC_030405	3947	segment 1	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030406	2057	segment 6	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030407	1400	segment 7	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030409	1118	segment 9	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030410	987	segment 10	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030413	3687	segment 3	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030415	2242	segment 5	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030411	783	segment 11	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
NC_030412	3866	segment 2	Viruses	Orthornavirae	Spinareoviridae	Aquareovirus	Etheostoma fonticola aquareovirus
